deal,description,,,,,,,,,,,,,,,,
FALSE,Bluetooth device implant for your ear.,,,,,,,,,,,,,,,,
TRUE,Retail and wholesale pie factory with two retail locations in New Jersey.,,,,,,,,,,,,,,,,
TRUE,Ava the Elephant is a godsend for frazzled parents of young children everywhere. This talking medicine dispenser makes it easy to administer medicine to little ones by turning the experience more playful and by providing positive reinforcement.,,,,,,,,,,,,,,,,
FALSE,"Organizing, packing, and moving services delivered by college women.",,,,,,,,,,,,,,,,
FALSE,Interactive media centers for healthcare waiting rooms offering patients web access and educational information.,,,,,,,,,,,,,,,,
TRUE,"One of the first entrepreneurs to pitch on Shark Tank, Susan Knapp presented A Perfect Pear, her line of pear-focused gourmet food products. Sold across 650 retail stores, the Perfect Pear product portfolio includes jams, jellies, spreads, tapenades, vinegars, marinades, dressings and many others, all designed to showcase the flavors and health benefits of pears.",,,,,,,,,,,,,,,,
FALSE,A mixed martial arts clothing line looking to become the next big brand of active sports / streetwear apparel.,,,,,,,,,,,,,,,,
FALSE,"Attach Noted is a detachable ""arm"" that holds Post-It notes on the side of a laptop screen.",,,,,,,,,,,,,,,,
FALSE,A safety device for seatbelts. It prevents the driver from starting the vehicle unless the seatbelt is buckled.,,,,,,,,,,,,,,,,
TRUE,An educational record label and publishing house designed to get students into learning about classic works of literature.,,,,,,,,,,,,,,,,
TRUE,"A battery-operated cooking device that siphons juice, has a silicone basting brush and an injector tip for marinades.",,,,,,,,,,,,,,,,
FALSE,Household items with a twist: made from recycled chopsticks.,,,,,,,,,,,,,,,,
TRUE,A line of books written to help children find inner calm.,,,,,,,,,,,,,,,,
FALSE,"Guitars with a folding neck, designed to fit into a backpack or an overhead compartment on an airplane.",,,,,,,,,,,,,,,,
FALSE,"50 State Capitals in 50 Fun Minutes is the most efficient and entertaining method to learn about US geography. This set of flash cards combines phonetics, cartoons, and associations to keep kids' interest and drive long-term learning and retention. Author Ken Bradford worked closely with public and private school teachers to develop this fun and satisfying study aide.",,,,,,,,,,,,,,,,
FALSE,A franchise-model company offering professional graffiti removal.,,,,,,,,,,,,,,,,
TRUE,"Coverplay is a slipcover for children's play yards. Much like a mattress, play yards can't be laundered, yet babies and children spend lots of time in them, so you can guess what that leads to. Coverplay to the rescue! Fitting snugly over most standard size play yards, Coverplay offers a quick solution to add another layer of protection between your child and the germ-harboring surface of the play yard. Made of 95% cotton and 5% Lycra, Coverplay is machine-washable and easy to maintain. Indeed, throwing a Coverplay slipcover into the wash is much easier than trying to remove a spill that's gone directly onto the play yard. With their bright and stylish designs, they'll also make any play yard look as good as new.",,,,,,,,,,,,,,,,
FALSE,"A company that owns the trademarks for the words ""Coffee,"" ""Cappuccino,"" ""Java"" and other highly-caffeinated words for use on plush toys.",,,,,,,,,,,,,,,,
TRUE,A web-based company that buys back and sells some of the 10% of all unused gift cards each year in the U.S.,,,,,,,,,,,,,,,,
FALSE,Inspirational gifts and accessories such as colorful umbrellas and sandals that leave messages in the sand.,,,,,,,,,,,,,,,,
TRUE,An online journaling service focused on facilitating users' progress towards achieving and maintaining their emotional well-being.,,,,,,,,,,,,,,,,
FALSE,"Granola Gourmet offers a line of granola bars that diabetics can safely enjoy. Unlike most granola bars on the market, Granola Gourmet's bars have a low glycemic index. Having a low glycemic index means that they are less prone to causing spikes in blood sugar, which aren't good for anybody and especially damaging for diabetics. Granola Gourmet's bars are made with ingredients that naturally have a low glycemic index, so they release their carbohydrates slowly into the bloodstream. Granola Gourmet products have been tested by GI Labs, which developed the glycemic index concept. They Ultimate Fudge Brownie bar has a glycemic index of just 23, well below the threshold to be considered low glycemic.",,,,,,,,,,,,,,,,
TRUE,A fitness machine with a series of bands of varying weights to make pushups easier.,,,,,,,,,,,,,,,,
FALSE,"A funeral concierge service that writes the eulogy, officiates the funeral service and handles all the post-funeral family gatherings.",,,,,,,,,,,,,,,,
FALSE,A line of surgical masks designed to be more fashionable and fun.,,,,,,,,,,,,,,,,
FALSE,Sports bras engineered to work with a woman's body based on the activity she enjoys.,,,,,,,,,,,,,,,,
TRUE,"Made-to-order energy bars made with whole, natural ingredients. Customers can choose the ingredients that go into their highly personalized bars.",,,,,,,,,,,,,,,,
FALSE,"Pitched as a ""root beer float in a bottle"".",,,,,,,,,,,,,,,,
TRUE,Sells award-winning barbecue spice and rub products.,,,,,,,,,,,,,,,,
FALSE,"Underwear designed to minimize the odor of flatulence, made of airtight material with elastic around the legs and a filter in the back.",,,,,,,,,,,,,,,,
FALSE,A fitness program fusing dance routines.,,,,,,,,,,,,,,,,
FALSE,Concept for a live entertainment and amusement attraction in the Times Square area with five venues featuring restaurants and entertainment.,,,,,,,,,,,,,,,,
TRUE,Stainless steel identifying charms that you stick in your food before you grill.,,,,,,,,,,,,,,,,
